,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Balcony,Furnished,Surface of living-room,Elevator,Terrace,Surface terrace,Garden,Surface garden,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,State of the property_New,State of the property_To be renovated,Type of property_house,Subtype of property_apartment,Subtype of property_villa
75,1,230000,3.0,90.0,1,0,0,26.36062113755524,1,1,20.0,0,286.4751080392142,0,0,0,0,0,1,0
76,1,569000,3.0,123.0,1,0,0,30.0,0,0,0.0,0,391.5159809869261,0,0,0,0,1,0,0
77,1,230000,1.0,55.0,1,0,1,26.0,0,0,0.0,0,175.0681215795198,0,0,0,0,0,1,0
78,1,555000,4.0,385.0,2,0,0,18.0,0,0,0.0,0,1225.476851056639,0,0,0,1,1,0,0
79,1,405000,2.0,98.0,1,0,0,34.0,1,0,0.0,0,311.9395620871444,0,0,0,0,0,1,0
80,1,244000,2.0,71.0,1,0,1,29.0,1,1,4.0,0,225.9970296753801,0,0,0,0,0,1,0
81,1,275000,2.0,80.0,1,0,0,25.0,1,1,4.0,0,254.64454047930155,0,0,0,0,0,1,0
82,1,330000,2.0,110.0,1,0,0,32.21853694590085,1,0,0.0,0,350.1362431590396,0,1,0,0,0,1,0
83,1,185000,1.0,33.0,1,0,1,9.665561083770257,1,0,0.0,0,105.04087294771188,0,0,0,0,0,1,0
84,1,255000,2.0,80.0,1,0,0,23.43166323338244,0,0,0.0,0,254.64454047930155,1,0,0,0,0,1,0
85,1,350000,1.0,74.0,1,0,0,30.0,1,0,0.0,0,235.5461999433539,0,0,0,0,0,1,0
86,1,325000,2.0,100.0,1,0,0,29.289579041728047,1,0,0.0,0,318.3056755991269,0,0,1,0,0,1,0
87,1,275000,1.0,80.0,1,0,0,23.43166323338244,1,0,0.0,0,254.64454047930155,0,0,1,0,0,1,0
88,1,559000,3.0,160.0,2,0,0,46.86332646676488,0,1,15.0,0,509.2890809586031,0,0,0,0,0,1,0
89,1,245000,2.0,116.0,1,0,0,33.97591168840454,0,0,0.0,0,369.2345836949872,1,0,0,0,0,0,0
90,1,470000,2.0,110.0,1,0,0,35.0,1,1,106.0,0,350.1362431590396,0,0,1,0,0,0,0
91,1,215000,1.0,54.0,1,0,0,15.816372682533146,0,0,0.0,0,171.88506482352855,1,0,0,0,0,1,0
92,1,380000,4.0,140.0,2,0,0,16.0,0,1,5.0,0,445.6279458387777,0,0,0,0,0,0,0
93,1,480000,2.0,123.0,1,0,0,32.0,1,0,0.0,0,391.5159809869261,0,0,0,0,0,1,0
94,1,225000,1.0,71.0,1,0,0,25.0,1,1,10.0,0,225.9970296753801,0,0,0,1,0,1,0
95,1,420000,2.0,98.0,1,0,0,28.703787460893487,1,1,10.0,0,311.9395620871444,0,0,1,0,0,1,0
96,1,255000,2.0,80.0,1,0,0,23.43166323338244,0,0,0.0,0,254.64454047930155,0,0,0,0,0,0,0
97,1,499000,2.0,140.0,1,0,0,41.00541065841927,0,1,8.0,1,40.0,0,0,0,0,0,0,0
98,1,249000,1.0,90.0,1,0,0,26.36062113755524,0,0,0.0,0,286.4751080392142,0,0,0,0,0,0,0
99,1,315000,1.0,86.0,1,0,0,25.18903797588612,0,0,0.0,0,273.7428810152492,0,0,0,0,0,0,0
100,1,735000,2.0,335.0,2,0,0,98.12008978978896,0,0,0.0,0,1066.3240132570752,0,0,0,0,0,0,0
101,1,595000,2.0,160.0,2,0,0,58.0,1,1,25.0,0,509.2890809586031,0,0,0,0,0,0,0
102,1,340000,2.0,160.0,1,0,0,46.86332646676488,1,0,0.0,0,509.2890809586031,0,0,0,0,0,0,0
103,1,338000,1.0,152.0,1,0,0,44.52016014342663,0,0,0.0,0,483.8246269106729,0,0,0,0,0,0,0
104,1,535000,2.0,168.0,1,0,0,49.20649279010312,1,1,19.0,0,534.7535350065332,0,0,0,0,0,0,0
105,1,695000,6.0,250.0,1,0,0,73.22394760432012,0,1,20.0,1,20.0,0,0,0,0,1,0,0
106,1,520000,1.0,120.0,1,0,0,35.147494850073656,0,1,10.0,0,381.96681071895233,0,0,0,0,1,0,0
107,1,180000,1.0,42.0,1,0,0,32.0,1,0,0.0,0,133.6883837516333,0,0,0,0,0,0,0
