,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Number of toilets,Balcony,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Elevator,Number of showers,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,Kitchen equipment_Partially equipped,Kitchen equipment_Super equipped,State of the property_Excellent,State of the property_Fully renovated,State of the property_New,State of the property_Normal,State of the property_To be renovated,Type of property_flat,Type of property_house,Subtype of property_apartment,Subtype of property_bungalow,Subtype of property_chalet,Subtype of property_cottage,Subtype of property_duplex,Subtype of property_ground-floor,Subtype of property_loft,Subtype of property_master-house,Subtype of property_mixed-building,Subtype of property_penthouse,Subtype of property_residence,Subtype of property_studio,Subtype of property_triplex,Subtype of property_villa
17081,Flanders,204000,2.0,75.0,1,1,0,10.17619038035006,0,21.967184281296035,0,8.171076273037196,1,1,2,1,9.0,8.237304782326447,0,1,1,0,238.7292566993452,6.687870684582675,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17082,Flanders,298000,3.0,122.0,1,1,0,16.553269685369433,0,35.733286430908215,0,13.291617404140506,1,1,2,1,9.0,13.399349112584352,0,1,1,0,388.3329242309349,10.878936313587818,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17083,Flanders,254000,2.0,102.0,1,1,0,13.839618917276084,0,29.87537062256261,0,11.112663731330588,1,1,2,1,9.0,11.202734503963969,0,1,1,0,324.6717891111095,9.095504131032438,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17084,Flanders,224000,2.0,87.0,1,1,0,11.804380841206072,0,25.481933766303403,0,9.478448476723148,1,1,2,1,9.0,9.55527354749868,0,1,1,0,276.9259377712404,7.757929994115903,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17085,Flanders,244000,2.0,97.0,1,1,0,13.161206225252746,0,28.410891670476207,0,10.567925313128107,1,1,2,1,9.0,10.65358085180887,0,1,1,0,308.7565053311531,8.649646085393593,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17086,Flanders,179000,1.0,65.0,1,1,0,8.819364996303387,0,19.03822637712323,0,7.081599436632237,1,1,2,1,9.0,7.138997478016254,0,1,1,0,206.8986891394325,5.796154593304985,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17087,Flanders,249000,2.0,97.0,1,1,0,13.161206225252746,0,28.410891670476207,0,10.567925313128107,1,1,2,1,9.0,10.65358085180887,0,1,1,0,308.7565053311531,8.649646085393593,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17088,Flanders,214000,2.0,81.0,1,1,0,10.990285610778066,0,23.72455902379972,0,8.824762374880173,1,1,2,1,9.0,8.896289164912563,0,1,1,0,257.8275972352928,7.222900339349289,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17089,Flanders,231000,2.0,76.0,1,1,0,10.311872918754728,0,22.260080071713315,0,8.280023956677692,1,1,2,1,13.0,8.347135512757466,0,1,1,0,241.9123134553365,6.777042293710444,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17090,Flanders,235000,2.0,78.0,1,1,0,10.583237995564064,0,22.84587165254788,0,8.497919323958683,1,1,2,1,13.0,8.566796973619505,0,1,1,0,248.278426967319,6.955385511965982,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17091,Flanders,280000,2.0,97.0,1,1,0,13.161206225252746,0,28.410891670476207,0,10.567925313128107,1,1,2,0,0.0,10.65358085180887,0,1,1,0,308.7565053311531,8.649646085393593,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17092,Flanders,240000,2.0,83.0,1,1,0,11.261650687587402,0,24.31035060463428,0,9.042657742161165,1,1,2,1,17.0,9.115950625774602,0,1,1,0,264.19371074727536,7.401243557604827,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17093,Flanders,254000,2.0,87.0,1,1,0,11.804380841206072,0,25.481933766303403,0,9.478448476723148,1,1,2,1,16.0,9.55527354749868,0,1,1,0,276.9259377712404,7.757929994115903,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17094,Flanders,241000,2.0,86.0,1,1,0,11.668698302801404,0,25.18903797588612,0,9.369500793082652,1,1,2,1,14.0,9.44544281706766,0,1,1,0,273.7428810152492,7.668758384988134,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17095,Flanders,244000,2.0,102.0,1,1,0,13.839618917276084,0,29.87537062256261,0,11.112663731330588,1,1,2,1,13.0,11.202734503963969,0,0,1,0,324.6717891111095,9.095504131032438,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17097,Flanders,265000,2.0,114.0,1,1,0,15.467809378132094,0,33.39012010756998,0,12.42003593501654,0,1,2,0,0.0,12.5207032691362,0,0,1,0,362.8684701830047,10.165563440565666,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17098,Flanders,279000,3.0,195.0,1,1,0,26.45809498891016,0,45.0,0,15.0,0,1,3,1,10.0,21.41699243404876,0,0,1,1,360.0,17.388463779914957,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17099,Flanders,204000,2.0,74.0,1,1,0,12.0,0,25.0,1,8.0621285893967,1,1,4,1,9.0,7.0,0,0,1,0,235.5461999433539,6.598699075454906,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17100,Flanders,244000,2.0,97.0,1,1,0,11.0,0,41.0,1,10.567925313128107,1,1,4,1,9.0,10.0,0,0,1,0,308.7565053311531,8.649646085393593,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17101,Flanders,245000,3.0,100.0,1,1,0,12.0,0,28.0,1,10.894768364049597,1,1,4,1,9.0,9.0,0,0,1,0,318.3056755991269,8.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17102,Flanders,265000,2.0,114.0,1,1,0,15.467809378132094,0,33.39012010756998,0,12.42003593501654,0,1,2,0,0.0,12.5207032691362,0,0,1,0,362.8684701830047,10.165563440565666,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17103,Flanders,235000,1.0,80.0,1,1,0,10.8546030723734,0,23.43166323338244,0,8.715814691239675,0,1,2,0,0.0,8.786458434481544,0,0,1,0,254.64454047930155,7.13372873022152,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17105,Flanders,250000,2.0,90.0,1,1,0,12.211428456420071,0,26.36062113755524,0,9.805291527644636,1,1,2,1,18.0,9.884765738791735,0,1,1,0,286.4751080392142,8.02544482149921,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17107,Flanders,329000,3.0,158.0,1,2,0,21.437841067937462,0,46.27753488593032,0,17.21373401519836,0,1,2,1,21.0,17.35325540810105,0,0,1,1,502.9229674466205,14.089114242187502,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17108,Flanders,329000,3.0,158.0,1,2,0,21.437841067937462,0,46.27753488593032,0,17.21373401519836,0,1,2,1,21.0,17.35325540810105,0,0,1,1,502.9229674466205,14.089114242187502,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
